"T","Kappa","Y","alpha","eps1","eps2","rho1","rho2","lam"
"180",285,0.55,1,0.4,0.64,0.54,0.009,0.87,0.878973509727095
"181",285,0.6,1,0.4,0.64,0.54,0.009,0.87,1.11798506638293
"182",285,0.65,1,0.4,0.64,0.54,0.009,0.87,1.13228791414355
"183",285,0.7,1,0.4,0.64,0.54,0.009,0.87,1.13613018582465
"184",285,0.75,1,0.4,0.64,0.54,0.009,0.87,1.13104571006264
"185",285,0.8,1,0.4,0.64,0.54,0.009,0.87,1.11585543699534
"186",285,0.85,1,0.4,0.64,0.54,0.009,0.87,1.08864775954637
"187",285,0.9,1,0.4,0.64,0.54,0.009,0.87,1.04416858799627
"188",285,0.95,1,0.4,0.64,0.54,0.009,0.87,0.969880530772023
"189",285,1,1,0.4,0.64,0.54,0.009,0.87,0.802440564724115
"190",285.5,0,1,0.4,0.64,0.54,0.009,0.87,0
"191",285.5,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"192",285.5,0.1,1,0.4,0.64,0.54,0.009,0.87,0
"193",285.5,0.15,1,0.4,0.64,0.54,0.009,0.87,0.028625069105428
"194",285.5,0.2,1,0.4,0.64,0.54,0.009,0.87,0.265230898015603
"195",285.5,0.25,1,0.4,0.64,0.54,0.009,0.87,0.382001907728928
"196",285.5,0.3,1,0.4,0.64,0.54,0.009,0.87,0.452738084677447
"197",285.5,0.35,1,0.4,0.64,0.54,0.009,0.87,0.552575168375858
"198",285.5,0.4,1,0.4,0.64,0.54,0.009,0.87,0.622496168745534
"199",285.5,0.45,1,0.4,0.64,0.54,0.009,0.87,0.66716375265944
"200",285.5,0.5,1,0.4,0.64,0.54,0.009,0.87,0.705392926660793
"201",285.5,0.55,1,0.4,0.64,0.54,0.009,0.87,0.903280279514966
"202",285.5,0.6,1,0.4,0.64,0.54,0.009,0.87,1.13122490826815
"203",285.5,0.65,1,0.4,0.64,0.54,0.009,0.87,1.1452715492542
"204",285.5,0.7,1,0.4,0.64,0.54,0.009,0.87,1.1502316181713
"205",285.5,0.75,1,0.4,0.64,0.54,0.009,0.87,1.14534843654148
"206",285.5,0.8,1,0.4,0.64,0.54,0.009,0.87,1.12991789640584
"207",285.5,0.85,1,0.4,0.64,0.54,0.009,0.87,1.10149890343354
"208",285.5,0.9,1,0.4,0.64,0.54,0.009,0.87,1.05551820676811
"209",285.5,0.95,1,0.4,0.64,0.54,0.009,0.87,0.981386253788387
"210",285.5,1,1,0.4,0.64,0.54,0.009,0.87,0.796443452456432
"211",286,0,1,0.4,0.64,0.54,0.009,0.87,0
"212",286,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"213",286,0.1,1,0.4,0.64,0.54,0.009,0.87,0
"214",286,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0253730805722692
"215",286,0.2,1,0.4,0.64,0.54,0.009,0.87,0.258206280188323
"216",286,0.25,1,0.4,0.64,0.54,0.009,0.87,0.312724762479917
"217",286,0.3,1,0.4,0.64,0.54,0.009,0.87,0.387900785362773
"218",286,0.35,1,0.4,0.64,0.54,0.009,0.87,0.556210164776183
"219",286,0.4,1,0.4,0.64,0.54,0.009,0.87,0.601182935566197
"220",286,0.45,1,0.4,0.64,0.54,0.009,0.87,0.631570788970342
"221",286,0.5,1,0.4,0.64,0.54,0.009,0.87,0.686867793571812
"222",286,0.55,1,0.4,0.64,0.54,0.009,0.87,0.916071454083392
"223",286,0.6,1,0.4,0.64,0.54,0.009,0.87,1.13995094512821
"224",286,0.65,1,0.4,0.64,0.54,0.009,0.87,1.15512753743219
"225",286,0.7,1,0.4,0.64,0.54,0.009,0.87,1.160884061367
"226",286,0.75,1,0.4,0.64,0.54,0.009,0.87,1.15674554971192
"227",286,0.8,1,0.4,0.64,0.54,0.009,0.87,1.14141327332402
"228",286,0.85,1,0.4,0.64,0.54,0.009,0.87,1.11215973462516
"229",286,0.9,1,0.4,0.64,0.54,0.009,0.87,1.06531498186793
"230",286,0.95,1,0.4,0.64,0.54,0.009,0.87,0.997190285971363
